#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
-----------------------------------------------
#Certains ne respectent pas la demande de ne pas récupérer trop souvent le fichier pour préserver le serveur (cela ne sert à rien de récupérer toutes les 3 min), le fichier présente désormais les 30 derniers jours seulement
#Si vous souhaitez avoir accès à l'ensemble, contactez moi, je n'ai pas le temps de faire la chasse à ceux qui ne respectent pas une certaine éthique, alors je fais en sorte de préserver mes ressources
-----------------------------------------------
Date;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-12-18;75177785;1665125;42475077;2.21;56.50;41.29
2020-12-17;75054942;1662487;42373319;2.22;56.46;41.33
2020-12-16;74322093;1649316;42000649;2.22;56.51;41.27
2020-12-15;73587672;1635775;41639004;2.22;56.58;41.19
2020-12-14;72961379;1621809;47680014;2.22;65.35;32.43
2020-12-13;72437722;1612844;47272654;2.23;65.26;32.51
2020-12-12;71903623;1605654;46881108;2.23;65.20;32.57
2020-12-11;71266597;1595234;45373244;2.24;63.67;34.09
2020-12-10;70558287;1582255;44894374;2.24;63.63;34.13
2020-12-09;69065295;1569792;44405143;2.27;64.29;33.43
2020-12-08;68394896;1557220;43979196;2.28;64.30;33.42
2020-12-07;67694538;1544884;43538473;2.28;64.32;33.40
2020-12-06;67176784;1536407;43126841;2.29;64.20;33.51
2020-12-05;66643089;1529219;42812893;2.29;64.24;33.46
2020-12-04;66002417;1519021;42375035;2.30;64.20;33.50
2020-12-03;65323959;1506609;41954548;2.31;64.23;33.47
2020-12-02;64633369;1494091;41518775;2.31;64.24;33.45
2020-12-01;63986746;1481655;41057391;2.32;64.17;33.52
2020-11-30;63381559;1468806;40581812;2.32;64.03;33.65
2020-11-29;62875510;1460119;40180425;2.32;63.90;33.77
2020-11-28;62388796;1453200;39854327;2.33;63.88;33.79
2020-11-27;61789548;1443451;39498584;2.34;63.92;33.74
2020-11-26;61117378;1432828;39122049;2.34;64.01;33.64
2020-11-25;60536107;1422087;38756871;2.35;64.02;33.63
2020-11-24;59860692;1409587;38289808;2.35;63.96;33.68
2020-11-23;59272239;1396802;37918382;2.36;63.97;33.67
2020-11-22;58750214;1388486;37508309;2.36;63.84;33.79
2020-11-21;58266415;1381405;37234667;2.37;63.90;33.72
2020-11-20;57679881;1372619;36896290;2.38;63.97;33.65
2020-11-19;57013698;1360778;36541036;2.39;64.09;33.52
2020-11-18;56363111;1349805;36168192;2.39;64.17;33.44
