#Source de ce jeu de données : https://coronavirus.politologue.com - Les données proposées dans ce fichier sont une compilation des données proposées par le CSSE (The Johns Hopkins University) https://gisanddata.maps.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
#Les données de ce fichier sont celles qui sont produites pour générer les graphiques sur https: //coronavirus.politologue.com
#Vous pouvez utiliser ces données sans problème et une référence à https://coronavirus.politologue.com sera appréciable
-----------------------------------------------
#Certains ne respectent pas la demande de ne pas récupérer trop souvent le fichier pour préserver le serveur (cela ne sert à rien de récupérer toutes les 3 min), le fichier présente désormais les 30 derniers jours seulement
#Si vous souhaitez avoir accès à l'ensemble, contactez moi, je n'ai pas le temps de faire la chasse à ceux qui ne respectent pas une certaine éthique, alors je fais en sorte de préserver mes ressources
-----------------------------------------------
Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-12-18;Andorre;7466;79;6875;1.06;92.08;6.86
2020-12-18;Émirats Arabes Unis;191150;630;167306;0.33;87.53;12.14
2020-12-18;Afghanistan;49621;2030;38540;4.09;77.67;18.24
2020-12-18;Antigua-et-Barbuda;151;5;141;3.31;93.38;3.31
2020-12-18;Albanie;51424;1055;26898;2.05;52.31;45.64
2020-12-18;Arménie;152253;2596;131213;1.71;86.18;12.11
2020-12-18;Angola;16484;382;9266;2.32;56.21;41.47
2020-12-18;Argentine;1524372;41534;1352556;2.72;88.73;8.55
2020-12-18;Autriche;334913;5127;297424;1.53;88.81;9.66
2020-12-18;Australie;28094;908;25700;3.23;91.48;5.29
2020-12-18;Azerbaïdjan;191460;2088;127064;1.09;66.37;32.54
2020-12-18;Bosnie-Herzégovine;104087;3549;69495;3.41;66.77;29.82
2020-12-18;Barbade;305;7;278;2.30;91.15;6.56
2020-12-18;Bangladesh;498293;7217;433614;1.45;87.02;11.53
2020-12-18;Belgique;618204;18371;0;2.97;0.00;97.03
2020-12-18;Burkina Faso;4611;73;3311;1.58;71.81;26.61
2020-12-18;Bulgarie;188288;6339;93728;3.37;49.78;46.85
2020-12-18;Bahreïn;89743;349;87846;0.39;97.89;1.72
2020-12-18;Burundi;751;1;640;0.13;85.22;14.65
2020-12-18;Bénin;3152;44;2972;1.40;94.29;4.31
2020-12-18;Saint Barthélemy;162;1;127;0.62;78.40;20.99
2020-12-18;Brunéi Darussalam;152;3;148;1.97;97.37;0.66
2020-12-18;Bolivie;148665;9031;127155;6.07;85.53;8.39
2020-12-18;Brésil;7110434;184827;6301547;2.60;88.62;8.78
2020-12-18;Bahamas;7725;164;6098;2.12;78.94;18.94
2020-12-18;Bhoutan;442;0;419;0.00;94.80;5.20
2020-12-18;Botswana;13014;38;10535;0.29;80.95;18.76
2020-12-18;Bélarus;169648;1308;147316;0.77;86.84;12.39
2020-12-18;Belize;9791;213;4779;2.18;48.81;49.01
2020-12-18;Canada;492582;13940;403667;2.83;81.95;15.22
2020-12-18;Rép. Dém. du Congo;15089;366;13010;2.43;86.22;11.35
2020-12-18;République Centrafricaine;4936;63;1924;1.28;38.98;59.74
2020-12-18;Congo (Brazzaville);6200;100;4988;1.61;80.45;17.94
2020-12-18;Suisse;403989;6524;311500;1.61;77.11;21.28
2020-12-18;Côte d'Ivoire;21772;133;21401;0.61;98.30;1.09
2020-12-18;Chili;578732;16007;551200;2.77;95.24;1.99
2020-12-18;Cameroun;25472;445;23851;1.75;93.64;4.62
2020-12-18;Chine;86789;4634;81850;5.34;94.31;0.35
2020-12-18;Colombie;1468795;39787;1343819;2.71;91.49;5.80
2020-12-18;Costa Rica;156388;1980;124907;1.27;79.87;18.86
2020-12-18;Cuba;9771;137;8770;1.40;89.76;8.84
2020-12-18;Cap-vert;11502;110;11137;0.96;96.83;2.22
2020-12-18;Chypre;16190;85;2057;0.53;12.71;86.77
2020-12-18;République Tchèque;610006;10163;527062;1.67;86.40;11.93
2020-12-18;Allemagne;1454009;25071;1078977;1.72;74.21;24.07
2020-12-18;Djibouti;5770;61;5635;1.06;97.66;1.28
2020-12-18;Danemark;123832;992;85680;0.80;69.19;30.01
2020-12-18;Dominique;88;0;83;0.00;94.32;5.68
2020-12-18;République Dominicaine;157305;2375;122205;1.51;77.69;20.80
2020-12-18;Algérie;93933;2640;62089;2.81;66.10;31.09
2020-12-18;Équateur;204249;13932;177951;6.82;87.12;6.05
2020-12-18;Estonie;20658;168;12922;0.81;62.55;36.63
2020-12-18;Égypte;123701;7015;105919;5.67;85.63;8.70
2020-12-18;Érythrée;741;0;572;0.00;77.19;22.81
2020-12-18;Espagne;1785421;48777;150376;2.73;8.42;88.85
2020-12-18;Éthiopie;118481;1831;99751;1.55;84.19;14.26
2020-12-18;Finlande;32582;489;22500;1.50;69.06;29.44
2020-12-18;Fidji;46;2;42;4.35;91.30;4.35
2020-12-18;Îles Féroé;534;0;516;0.00;96.63;3.37
2020-12-18;France;2528798;59619;181506;2.36;7.18;90.46
2020-12-18;Gabon;9373;63;9223;0.67;98.40;0.93
2020-12-18;Royaume-Uni;1953127;66144;3079;3.39;0.16;96.46
2020-12-18;Grenade;85;0;41;0.00;48.24;51.76
2020-12-18;Géorgie;204003;2002;171526;0.98;84.08;14.94
